recommendationid,appid,input_text,positive_topics,negative_topics,labels
43855033,495980,"this game is really, really bad. thats all i have to say. dont waste your money, even though its cheap. not only will you lose money if you buy this, you will lose your will to live.",[],"[""value"", ""gameplay""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
11950357,19500,"Thought this was going to be a quick 100% achievement game seeing that there is only four achievements. Man, was I wrong. Even though the graphics are cute, the controls are absolutely terrible.","[""graphics""]","[""controls"", ""value""]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
41900308,841210,"Where do I begin? So I was lookin' through Steam on my laptop because I'm on the can and Lois is riding me about the garbage or something, and I seen this game pop up, it looked alright enough I could maybe fire off some knuckle children to some primo animu babes, since usually it costs me a lot more money I figured I'd treat myself and bought this on sale. The game itself? It's like someone took Unreal Engine and slapped some really rad anime assets and just painted in a small little Island. You can kinda tell they just painted on half heartedly all the ground work as I seen an area where they tested several tiles after clipping through a hill to the other side. A child and 5 minutes could produce the same scene from the editor i'd imagine, even Stewie could manage that much and he's like 1. .. Or is he 17? I can't remember. The models are hot, bodies with hour glass figures, large chests and big butts. My intent for buying the game was a success if you gotta know the facts. You basically run around looking for these other chicks with different hair, then talk to them, and you get an achievement for it. There is some Xbox controller support, but you can't jump or nothing, if you fall, you're screwed, start over until you find the broads. Oh, the game doesn't have no english, but that don't matter to little peter. If you're like me, it's worth messing with, maybe the 3 dollars will encourage the devs to do more than paint in 2 hours worth of land.","[""graphics"", ""value""]","[""bugs"", ""controls"", ""content"", ""localization""]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
201587208,3298940,don't like horror genre nowadays because of the shouting screamers around my tiktok page but here is the MY LEVEL of scariness. IF you dont like the jumpscare - it's your game. If you like STORY game - it's your game. Personally recommend.,"[""story""]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65228528,716000,"To be honest, I only bought the game because of the name, but im really glad I did! It's a lot of fun, but using the oculus touch controllers to play this kind of hurts because it uses the button mapping of the vive wands... Otherwise I definitley recommend this game.","[""gameplay"", ""value""]","[""controls""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42999047,822150,"This game is a not bad survival game with decent graphics and sound effects, with a hard learning curve. When you need to craft things, the way it is done in this game is more realistic then in other types of this genre. And that is quite appealing. Okay, let's sum it up here a little bit... Things which makes this game interesting! - Day/Night Cycle - Equipment, lighting needs power from the generator - Different types of Equipment for manufacturing different types of items for example: (sawmill for planks, foundry unit for nails, bolts, etc..) - Once found a hatchet, start cutting that firewood - Taking a nap in your bed saves the game - Sub menus to equipment using TAB in all situations - You find a backpack, equip it so you have access to an inventory - There is a warehouse box in the basement in where you can store more items - You can dump items on the floor without them despawning, but when you save the game, there is a chance that they do dissappear. ? I have found seeds, but not the Field yet for any form of farming yet, I thought, lets dump it in the squeezer to get oil, but there is actually a small oil rig on the map. All I need to get is some form of transportation of that black liquid. I saw you can fish, like as in ingredients, so making a fish rod once the generator is running is a good idea to start with. So I was walking around and suddenly I heard a weird noise and my thought were ""Oh no... Not ANOTHER zombie survival game a.k. 7 Days 2 Die??"" But when I investigated the weird noise, it was actually a bear, so I was relieved! So that will be my source of meat, if I ever get a weapon of some sort. I noticed that the waterpool around the church is an instant death, so I try to avoid taking a bath in there the next time. :D Found some music albums in the basement and because the music player does not require power and the evening was already setting, I thought, let's listen to some music before bedtime (whenever available). Then nightfall eventually happened, you cannot skip the night appearantly. And then I heard some strange noises, evil laughing, growling, sounds of somebody pulling it's leg, scratching on the boardplanks, something ripping off and then footsteps... I was in the bedroom, listening to some nice Old American Songs, figuring out how to stop the music player because of the weird noises. FInally I succeeded, turned around and some half naked chick was doing the CanCan while she laughed in an evil way (same way when you got a succesful date with a woman, you pull your pants down and she points her finger to your manlyhood and starts laughing which makes you think about her honesty of being a virgin...) And then I died... Just great.... So I pressume people from a nearby loonybin have escaped and doing a murderous raid to anything and anybody they come across... I don't wanna think about zombies, like I NEVER heard a zombie laugh or doing the CanCan... -_- --- > I have not found a weapon yet, the hatchet is NOT a weapon. I did find a shit ton of ammo in the basement, but no gun or whatever. > Have not found a use-able bucket (the one from the well is firmly attached) or any form of transpot of the oil to the generator > To access utilities you need to stand near it (same as the bed) press TAB (for inventory) and you will see another menu for the other device/machine > Getting thirsty, I see water but I can't drink it. The waterwell is unaccessable. Curious what is needed to get my daily dose of water consumption. If I don't drink enough water every day, my piss will be so sour that my tube is aching for at least a few hours... Like the GUIDE says I can drink any form of water, except for the water from the cemetary... Have not figured everything out yet. I just keep on dying every night, maybe it's because I can't dance? So now I am hiding in the church in the top of the tower and waiting till the sun goes up again. I will probably fail, but I like to try out things before giving up. Had an encounter with that dreadfull bear, quite a persistent creature, kept following me wherever I went, the map is not THAT big but eventually I got rid of it. Also found deers. Another means of meat, BUT still need a weapon and most important: Drinking Water which I still haven't figured out yet. I had this idea to hide in the church tower for the night, I died because of dehydration. :P I got a real hard time on learning this game... I even tried the guide, but the guide is not telling me the things I need to know. And I found the weed... Lots of it... A little voice tells me not to take this game too serious but the other one points on all the evidence which could make this game very good. --- RECOMMENDATION = YES (especially when you look at the price...) [if the DEVELOPER still works on this game, I hope there will be options like brightness and the fact when I press OUTPUT the game is reset and back to main menu, for now I have no thoughts of improvements or whatever, I am already happy the mouse is locked in the game and it works smoothly with walking without lag - But I would not be surprised that the developer one day decided to rebuild the game from ground up, improving even better graphics with correct shadows and shadings and even more immersive crafting and collecting - For now the price is nice and low, let's see if I still think it should stay that way or need to be pumped up a notch, because the game is appealing a lot!","[""graphics"", ""audio"", ""gameplay"", ""value""]","[""difficulty_balance"", ""ui_ux""]","[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
83939270,773830,Figures are made up when comparing results with a friend.,[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
202859433,736820,"It's weak, especially the battles, you're better off buying Total War ATTILA and installing the Medieval Kingdoms 1212 AD mod, which is perfect.",[],"[""gameplay"", ""value""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
159457886,2660850,A very cute and addictive game. Only halfway finished but I've already repeated them all to get the perfect solution. Also works perfectly on the Steam Deck.,"[""bugs"", ""gameplay"", ""replayability""]","[""content""]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45768508,778330,"A short, mildly masocore platformer with quality and variety. Scads of silliness here, as in, ""Oh my god! Your farts smell like my son!"" Minor pieces of free DLC added regularly, it seems. If, like me, you're the kind of gamer who goes through platformers like cups of tea (or coffee), you can't go wrong with this simple delight.","[""content"", ""gameplay"", ""monetization""]",[],"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16199566,339210,"Has about 10 hours of gameplay and story missions until it is all repetitive. It's the same missions with only slight differences in equipment until you have the specialized vehicles which makes the missions trivial, which is boring. I enjoy this game, however it needs more content and it could really use procedural generation for missions to make no two alike, even if they use the same small selection of maps. Difficulty level was not challenging. Once you understand how to do a mission quickly, it becomes dull. When I saw the train derailment mission, I thought ""wow this will be fun"". Then I go there with my foam tender and spray one small fire and complete the mission in less time than it took for the mission to load. That is disappointing. The game is much more fun if you let everything catch on fire for a while, let the injured people almost die, then start fighting the fires. I felt like I had cool equipment and vehicles, but really didn't feel like I was using them. Often, I could bust into a fire with 4 people using fire extinguishers and avoid all of the fun of setting up hoses. However, I am still recommending this game because it is suitably polished. It's good for about a day's worth of play and good for kids to play with parents. This is an improvement over the previous Rescue. The game design and engine have enormous potential, but the content is currently (6/5/2015) mediocre.","[""gameplay""]","[""content"", ""difficulty_balance""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51078887,222555,it is verry nice and i like that it goes long hood foward not nose foward,"[""gameplay"", ""graphics""]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
202421143,2880730,"This room escape game adds a clever twist: while solving puzzles and exploring your surroundings, you also have to talk down your captor—and sometimes even enlist their help to escape. Unlike the demo, where nearly everything leaned on AI, the full release uses AI only for dialogue. That means clean visuals, interesting character designs, and cozy environments. It’s still in early access, so expect a few bugs and rough edges. Voice-to-text is clunky (and bafflingly still requires pressing Enter), but overall the game shows ambition. Beyond simply escaping, there are multiple objectives, genuine replayability, and an actual plot tying things together with more depth than you’d expect. The AI integration is a mixed bag. On one hand, it prevents the game from devolving into the demo’s “talk to Catgirl about anime for half an hour, then ask to leave” simplicity. There’s more gameplay, more puzzles, and more structure. On the other, the chatbot often can’t provide new or useful information, especially for trickier puzzles. It’s also far too easy to get characters to like you—idle chatter alone routinely netted me the “best” ending on my first try, which clashes with the progression system that expects players to unlock multiple endings, including bad ones. As it stands, getting to the next story beat sometimes means deliberately tanking your own success, which feels awkward and forced. The “quests” could use more variety. Instead of simply manipulating character affection or replaying scenarios, objectives like cook a meal for Catgirl, drink one of every potion, or offer five different items to the hologram would add depth. Some alternate endings (“escape but sad”) at least offer tougher challenges than the standard “best” ending, which helps balance things. The standout section so far is the space scenario, which recalls other “alone on a space station with an AI” games. Here, the chatbot contributes more meaningfully: providing lore, explaining concepts, and becoming essential to the plot. Paired with stronger puzzles, it feels like it could sustain a game on its own. The problem is replayability—once you know the setup, the AI’s limitations show, especially when the most “AI-like” AI can’t actually guide you in-world. Immersion breaks quickly. Across scenarios, it’s clear the developer is growing. Each one is bigger, more ambitious, and better constructed, steadily evolving from a meme-y proof of concept into something genuinely engaging. The central issue, though, is the gap between what the AI seems to offer and what it actually delivers. A lot of interactions boil down to scripted responses you could just as easily handle with if/then logic, and the illusion of lifelike conversation often collapses into repetitive pantomime. Occasionally the AI smooths over frustrations—like when I couldn’t find a potion ingredient and the Witch just gave me one—but these moments are rare. The dating sim aspects also fall flat compared to even modest visual novels. Relationships progress too quickly, payoff is shallow, and the loop resets with every scenario, leaving no sense of permanence. It’s hard to feel invested when simply flirting a bit unlocks someone’s entire character arc. Replayability ends up feeling more like FACADE: amusing experiments with what you can say, but without real consequences. There are some easter eggs, randomized elements, and cosmetic unlocks, but they don’t meaningfully shake up the experience. And since you can essentially handwave items into existence through dialogue (“I give you X item”), progression feels flimsy. That said, the game succeeds as an exploration of how large language models can fit into gameplay. Used not as a narrative engine, but as a companion, assistant, or knowledge gate, this system shows promise. Imagine a detective noir where the AI plays your spunky assistant, or a survival game where you rely on it for medicine, reminders, or guidance. The tech’s best role may not be as the star, but as the support that makes traditional mechanics richer. I recommend it now as I see it can get better with each update, and there is actual depth of writing and creation behind the LLM facade- unique maps, mechanics, worldbuilding, and drawn art, turning it away from AI cash grab into an attempt at a more immersive experience layered on top of the standard escape room experience. And no microtransactions, some modding support, I'm interested in seeing where this game goes.","[""gameplay"", ""graphics"", ""monetization"", ""replayability"", ""story""]","[""bugs"", ""controls"", ""difficulty_balance"", ""ui_ux""]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
62615513,1204720,"This was recommended to me by a YouTube video review. It wasn't super expensive so I picked it up. It was a good laugh and well wort the money. My only complaints are that the game could do with a few more characters (maybe as free DLc) and it would be nice if there was like a dozen or so achievements for things like finishing the story mode, unlocking each character, getting the first hit in and stuff like that. Hopefully the devs will add in more characters like Bloomberg and also other candidates too. For the time being it's a good laugh the is worth buying to play with friends. EDIT - Now that Yang is out of the race and the years is winding down I guess the most we can hope for is a sequel in the next four to eight years. This some solid ground though, and the dev team will likely able to improve on what they've done so far.","[""gameplay"", ""monetization"", ""value""]","[""content""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
96577869,1611470,"DLC for the game includes cute cosmetics, some in-game items, soundtrack, and art book. Steam isn't clear on how to locate the soundtrack and art book. Art book and Soundtrack should be located in your files after purchasing. Fuga's official twitter posted how to locate them through Steam! ( [URL] ). DLC is worth it if you enjoy the music and want to get some additional goodies for the game!","[""audio"", ""content"", ""monetization"", ""value""]","[""ui_ux""]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
202939742,3364840,you can be a crocodile,"[""gameplay""]",[],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
160616175,2732510,Like,[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45862171,752800,"Nice, bite-sized RPG with a twist. If you're looking for something to chill out with, love card-based games, and don't have a lot of time for a single session, gives this one a try.","[""gameplay"", ""value""]",[],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
105687662,1181773,⢸⠉⠉⠉⠉⠉⠉⠉⠉⠉⠉⠉⠉⠉⠉⡇ ⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀⡇ ⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⡇ ⢸⠀⠀⠀⠀⢀⠖⠒⠒⠒⢤⠀⠀⠀⠀ ⠀⡇ ⢸⠀⠀⣀⢤⣼⣀⡠⠤⠤⠼⠤⡄⠀⠀.⡇ ⢸⠀⠀⠑⡤⠤⡒⠒⠒⡊⠙⡏⠀⢀⠀.⡇ ⢸⠀⠀⠀⠇⠀⣀⣀⣀⣀⢀⠧⠟⠁⠀. ⡇ ⢸⠀⠀⠀⠸⣀⠀⠀⠈⢉⠟⠓⠀⠀⠀⠀.⡇ ⢸⠀⠀⠀⠀⠈⢱⡖⠋⠁⠀⠀⠀⠀⠀⠀.⡇ ⢸⠀⠀⠀⠀⣠⢺⠧⢄⣀⠀⠀⣀⣀⠀⠀⡇ ⢸⠀⠀⠀⣠⠃⢸⠀⠀⠈⠉⡽⠿⠯⡆. ⡇ ⢸⠀⠀⣰⠁⠀⢸⠀⠀⠀⠀⠉⠉⠉⠀⠀ ⡇ ⢸⠀⠀⠣⠀⠀⢸⢄⠀⠀⠀⠀⠀⠀⠀⠀⠀⡇ ⢸⠀⠀⠀⠀⠀⢸⠀⢇⠀⠀⠀⠀⠀⠀⠀⠀⡇ ⢸⠀⠀⠀⠀⠀⡌⠀⠈⡆⠀⠀⠀⠀⠀⠀⠀⡇ ⢸⠀⠀⠀⠀⢠⠃⠀⠀⡇⠀⠀⠀⠀⠀⠀⠀⡇ ⢸⠀⠀⠀⠀⢸⠀⠀⠀⠁⠀⠀⠀⠀⠀⠀⠀⠷⠀ARE YA WINNING SON?,[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99083480,1530080,Hi @Jeff Is is possible you can do Wallpapers for all the Creatures - Love my Vlish. And bit more to the PDF's,"[""content""]","[""ui_ux""]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
185817292,2898400,"this game looks cool, I love the pixel aesthetic you use, I hope you make a bigger project in the future that rivals other rpg's ....with that being said this game this game is not worth buying you'll have infinitely more fun playing something else like Baldur's Gate 3, Wartales, Skyrim, Darkest Dungeon, Elden Ring, Fallout 4, Undertale, Memoirs of a Battle Brothel, Grim Quest, Vampire's fall origins, Shattered Pixel Dungeon,","[""graphics""]","[""value""]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
202305024,2473070,"I've completed the game, this game doesn't have any updates or any real way of resetting your progress, if the dev updates the game more in the future, I'll change my review.",[],"[""updates_support""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
