annotation_id,recommendationid,appid,review_text_clean,voted_up,label,positive_topics,negative_topics,is_valid,invalid_reason,annotation_note,annotation_status,word_count,char_count,votes_up,weighted_vote_score,api_model,api_error,human_verified
17,44395478,897910,"It looks really good, but feels annoying to play when I need to find where are all the keys, as my keyboard layout (Spanish) is not among the options in the menu. Please add more keyboard layouts and I'll give it another try.",False,not_recommended,graphics,"controls,ui_ux",True,,"그래픽이 좋다고 평가한 점은 graphics의 긍정으로, 스페인어 키보드 레이아웃이 없어 조작이 불편하다는 점은 controls의 부정으로 판단했으며 메뉴의 키보드 레이아웃 옵션 부족은 ui_ux의 부정으로도 보임.",completed,43,225,0,0.51197404,gpt-5.4-mini,,True
18,55696484,1140900,"very basic game, there is no way to kill the squids which makes the game near impossible to finish, and you end up doing the same thing every level, activating generators. its a no from me",False,not_recommended,,gameplay,True,,오징어를 처치할 수 없어 진행이 거의 불가능하고 매 레벨 같은 행동을 반복한다는 점을 gameplay의 부정으로 판단함.,completed,36,188,0,0.38830057,gpt-5.4-mini,,True
19,190334819,1507790,"Bought it entirely for having a unique art style and I simply had not played anything like this before. I cursed at getting stuck in Hex tiles a few times, but altering mouse sensitivity a few times lead to an interesting adventure. Completed in under two hours, but plan to go many rounds in my little forest when I need a break from the headache of 3D atmospheres. My green little heart beats.",True,recommended,"graphics,gameplay,replayability",controls,True,,"독특한 아트 스타일을 graphics의 긍정으로, 마우스 감도 조정과 타일에 끼는 불편함을 controls의 부정으로, 여러 번 즐길 계획을 replayability의 긍정으로 판단함.",completed,73,395,0,0.5,gpt-5.4-mini,,True
20,39301729,452522,Its bugged! Because of the script bugs you cant complete the game. Most of the main plot things dont appear in the game because of the glitches.,False,not_recommended,,bugs,True,,스크립트 버그와 글리치 때문에 게임을 완료할 수 없다고 직접 말해 bugs의 부정 평가로 판단함.,completed,27,144,16,0.62408179,gpt-5.4-mini,,True
21,94556167,1129530,Where is my soundtrack？？I downloaded it，but nothing is here.(Only the artbook),True,recommended,,bugs,True,,사운드트랙이 없고 아트북만 받았다는 점을 콘텐츠 누락에 대한 부정 평가로 판단함.,completed,11,78,1,0.49586776,gpt-5.4-mini,,True
22,45399499,786390,"Slick graphics combine with an ominous atmosphere in an everchanging array of creepy nightmarish scenes as you try to discover the mystery behind missing young girl Amy. Very intelligent use of VR to keep you wondering whatever is coming next??? It's difficult to write this review and not give too much away, but a few minutes in and you'll be hooked! It's a dark and immersive experience that has some well executed white knuckle moments. It's a shame about the load times between scenes despite my beefy setup and depending on your exploration time, for the most part it's quite short, so grab it on sale. Great title for horror fans and to scare the wits out of your friends...",True,recommended,"graphics,gameplay,content","performance,value",True,,"그래픽과 VR 활용, 몰입감 있는 전개를 긍정적으로 평가했고, 짧은 플레이타임은 content로, 긴 로딩은 performance로 판단함",completed,120,681,1,0.5,gpt-5.4-mini,,True
23,159296128,2311070,"Absolutely obnoxious. I'm not averse to difficult games, but Devil's Dive is difficult in an annoying way, not an engaging way. Hitboxes are unreadable, environmental hazards are obscured by the viewport, character acceleration swings wildly upon input. The game does not respect your time whatsoever. DD also tries to be a more feature-rich version of Downwell but misses the point that simplicity is one of the things that makes Downwell great. For example, the 360-degree aiming doesn't really add anything to the gameplay, but it does necessitate more awkward controls on a gamepad. Why would a platformer use an aim design that requires migrating the jump command from a face button to a shoulder button? In the case of DD, it feels like the answer to that question is ""to be different from Downwell"". It is different, but it's not better - I'd say it's actually worse, since using a trigger to jump in any game has, and always will, feel awful. DD looks and sounds great, but, unless you enjoy a very specific kind of old-school, teeth-grinding difficulty, you will not find this game fun. Avoid.",False,not_recommended,"graphics,audio","difficulty_balance,controls",True,,"비정상적으로 어렵고 공정하지 않다는 점을 difficulty_balance의 부정 평가로, 게임패드 조작과 점프 배치가 어색하다는 점을 controls의 부정 평가로 판단했으며, 그래픽과 사운드는 좋다고 해 graphics와 audio의 긍정 평가로 분류함.",completed,187,1102,0,0.5,gpt-5.4-mini,,True
24,114102802,1877970,Dumbest game I've ever played. No point.,False,not_recommended,,other,True,,‘Dumbest game’와 ‘No point’라는 전체 부정 평가만 있어 구체적 요소가 없어 other의 부정으로 판단함.,completed,7,40,7,0.35454485,gpt-5.4-mini,,True
25,83890586,733540,"Much like the global part of ABC Islands, this is Logistical as an idle game, where towns don't consume deliveries so you're free to do them as quickly or slowly as you like. There's still some strategy to the game though, and figuring out the puzzles was fun. A different take on Logistical, that I would recommend to fans of the base game and idle games.",True,recommended,gameplay,,True,,퍼즐을 푸는 과정이 재미있고 전략성이 있다는 점을 gameplay의 긍정 평가로 판단함.,completed,66,356,1,0.52914798,gpt-5.4-mini,,True
26,173232384,3136930,Absolute CINEMA... Hustlers must play.,True,recommended,other,,True,,게임을 절대적으로 칭찬하고 있어 구체 요소가 없어 other의 긍정 평가로 판단함.,completed,5,38,3,0.53488374,gpt-5.4-mini,,True
27,201867073,686810,"Waste of time. Probably the most unintuitive game I've ever purchased. Multiplayer options only, and just about every server rejected my request to join. Thankfully, Steam accepted my request for a refund.",False,not_recommended,,"ui_ux,network_server,value",True,,"가장 직관적이지 않다는 표현은 ui_ux의 부정 평가로, 서버가 계속 거절했다는 내용은 network_server의 부정 평가로, 환불을 받았다는 언급과 시간 낭비라는 평가는 value의 부정 평가로 판단함.",completed,32,205,3,0.51031655,gpt-5.4-mini,,True
28,127126384,2105190,"Not a compelling enough upgrade from 2K21. Mostly cosmetic enhancements here and there. If you do buy this, don't go any further than the Deluxe edition. The rest is just fluff and you'll feel ripped off.",False,not_recommended,,"graphics,value,monetization",True,,"대부분의 변화가 외형적 향상이라 graphics의 부정으로, 나머지가 부풀린 내용이고 속았다고 느낀다는 점을 value와 Deluxe 이상은 불필요하다는 언급을 monetization의 부정으로 판단함.",completed,36,204,24,0.74062192,gpt-5.4-mini,,True
29,16203180,296590,Hats off to people who have mastered this game. Think twice before plonking down money for this. Compared to just about any other card game on steam this game relies mainly on the complexity of rules as the main element instead of simple base rules mixed with complexity of card combinations. Card combos can be complex too but you will never really get there unless you invest a lot of time to figuring out the smaller details of mechanics first. Speaking of mechanics - i have done the tutorials many times but i still seem to get myself many times into situations where i don't have the slightest clue to why a certain move cannot be used when i want to. Am i not following the rules or the UI doesnt show me what i can do? i have no idea. I read some guides. lurked the forums. confusion did not clear away. 'Dont do too soon x'. 'Dont try too late y'. very interesting but so confusing. In the end i really dont care if this is the 'best game' on the block for the people who really like card games - and looking at the hours played and positive comments it does seem to be some people's favorite. Entertainmnet value and fun has already been sacrificed here so the praise this game gets from the punishment liking veterans is just lost on me. Fun is essentially zero and thus this game gets the bottom feeder position in my card game library. I am sure it doesnt belong there but i really don't see any way i can bring it up from there either with the ever tightening competition in the card games section on Steam as there ARE very good alternatives if you have played your MtG:s and want to try something else. Technically i have not found anything wrong with the game. It works without crashing and graphics are really nice. Be warned - you dont see the complexity from the trailers. only when you try to actually learn the rules and play. I actually wish i could give a neutral review for this game as i hate to trash it but since it does cost some money and it doesn't really relay the complex nature of it correctly then a negative review it is then.,False,not_recommended,"graphics,bugs","gameplay,controls,ui_ux,difficulty_balance,value",True,,"규칙 복잡성과 재미 부족은 gameplay, 무엇을 할 수 있는지 알기 어렵다는 점은 controls와 ui_ux, 학습 장벽은 difficulty_balance, 가격 대비 아쉽다는 점은 value로 판단했으며 그래픽은 긍정이고 충돌이 없다는 언급은 bugs의 긍정으로 보았습니다.",completed,389,2062,10,0.56428909,gpt-5.4-mini,,True
30,24661243,424060,"RECENT UPDATE HAS LEFT UNLOCKABLES UNLOCKABLE I repeat, in this version, the unlockables do not unlock as they are supposed to. It treats everything as a failure. A recent update must have created the bug in the coding because I've seen playthroughs where it worked fine. If anyone knows how to contact the developer that'd be great.",False,not_recommended,,"bugs,updates_support",True,,"업데이트 이후 언락 요소가 정상적으로 해제되지 않는 문제를 bugs로, 최근 업데이트가 원인으로 보인다는 언급을 updates_support의 부정 평가로 판단함.",completed,57,333,6,0.62164122,gpt-5.4-mini,,True
31,190577489,1855240,"This game is a shitload of fuck! It's a crusty old fossil reanimated by a mad scientist to reveal it was nothing but a coprolite the whole time! No but seriously, the only thing I could think of while playing was that this is the kind of game the AVGN would get mad at. But unlike the nerd, I don't have to wonder what the developer was thinking; I know he intentionally designed the game to be frustrating, obscure and punishing. The game is clearly a sendup of old adventure games with light RPG elements, like a Sierra/Zelda 2 slurry. And man, it is wildly directionless and inscrutable. You're given almost no guidance, and after two hours of fumbling with the thing I'm still not sure where I was ever supposed to go. Combat is a frustrating mash fest that feels purely random whether you can kill an enemy without being hit in return. Healing is scarce and enemies respawn with each screen transition, so the game quickly becomes a dull slog running back to your bedroom to heal. Significant grinding seems almost mandatory with high item costs. The castle area is annoyingly large with few things to find, leading to most of your time being spent in transit. And God help you if you take a careless step: the princess will happily wander off an edge to her death. The front of the castle is surrounding by an instadeath moat that you must carefully path around or your big, triumphant return will become 20 mintues of lost progress in 1 second. It's a wildly frustrating and unsatisfying game, and the only reason I'm not leaving a red review is because this is a solo dev passion project and I can tell it was deliberately designed to be this way. For a masochist or someone seriously nostalgic for Sierra this is probably a great game. For anyone else, stay far away, especially at $20.",True,recommended,gameplay,"gameplay,difficulty_balance,content,value",True,,"전투와 탐험이 재밌을 수 있다는 언급은 gameplay의 긍정으로, 방향성 부족·불공정한 난이도·빈약한 콘텐츠 진행·가격 대비 불만은 각각 gameplay, difficulty_balance, content, value의 부정으로 판단함.",completed,324,1795,2,0.54356849,gpt-5.4-mini,,True
32,202044004,2361460,"Unbalanced game play, poor UI choices. Not fun",False,not_recommended,,"difficulty_balance,ui_ux",True,,"불균형한 게임플레이는 difficulty_balance의 부정 평가로, 나쁜 UI 선택은 ui_ux의 부정 평가로 판단함.",completed,8,46,0,0.4741379,gpt-5.4-mini,,True
33,193720684,432440,"This “Ultimate” expansion teases pro-grade synth features but ends up as nothing more than a handful of extra presets grafted onto an already crippled editor. Core limitations—no MIDI mapping, no piano roll, no real-time modulation lanes—remain untouched. Instead of smooth integration, you get a disjointed menu of sounds hidden behind endless clicks. The result is a glorified tease that feels less like an enhancement and more like a fragmentation of the few halfway decent tools you already paid for.",True,recommended,other,"ui_ux,monetization",True,,"에디터의 클릭이 많은 분절된 메뉴 구성을 ui_ux의 부정으로, 추가 프리셋 중심의 확장판 구성을 monetization의 부정으로 판단함.",completed,79,504,2,0.54081631,gpt-5.4-mini,,True
34,30524051,570850,"Similar presentation to Bullet Sorrow, you teleport to next fixed point after taking out enemies that rush in. There's a sequence where you're moving on a crane gantry but most of the time you're standing in the middle of the room. Enemies move to use cover so it's a little frustrating not to have any cover yourself. You're wearing a helmet (there's a HUD in the field of view) so presumably the suit can take a lot of damage and it's possible to dodge incoming fire when the game switches to bullet time. weapons are fixed - an assault rifle and shotgun, reload by pressing the trackpad. Enemies look good and distant enemies are outlined in red so they're easier to see, there's a good sense of size in some of the larger areas. If you like the Bullet Sorrow style of play you'll probably like this. More weaponry with a traditional reload style would have been good imo as would more creative use of cover and the ability to move but that's not what this style of game is about. It's a satisfying blast for $5.",True,recommended,"gameplay,graphics,value",gameplay,True,,"전투 진행과 총기 사용의 재미를 gameplay의 긍정으로, 고정 무기와 엄폐 부족으로 인한 답답함을 gameplay의 부정으로 판단했으며, 적과 거리감 표현을 graphics, HUD 언급을 ui_ux, 트랙패드 재장전 설명을 controls, 5달러에 만족스럽다는 점을 value로 분류함.",completed,187,1015,12,0.63343346,gpt-5.4-mini,,True
35,199403261,3609520,"quite gaudy, not very sexy",False,not_recommended,,graphics,True,,gaudy라는 표현으로 시각적 외형을 부정적으로 평가해 graphics의 부정으로 판단함.,completed,5,26,0,0.5,gpt-5.4-mini,,True
36,75979294,455770,What a delightfully weird game. The world needs more YamaYama!,True,recommended,other,,True,,"게임을 ‘delightfully weird’하고 필요하다고 평가한 전체적인 호평이지만, 구체적인 요소 언급이 없어 other의 긍정으로 판단함.",completed,10,62,0,0.5,gpt-5.4-mini,,True
37,76749271,1399380,"About $3 CDN full price and definitely worth it. I assume some will complain about the length which I didn't mind at all. Unique concept with just enough challenge to enjoy it without endless grinding which turn me off of some platformers. I wouldn't call it a complaint but the only thing I'd give a shrug to would be the minimalist story given throughout. Don't know if it would have been better to just go at a different angle with it or just get rid of it altogether. Either way, nice little gem here.",True,recommended,"value,gameplay",story,True,,"가격 대비 만족도가 높고 독특한 콘셉트와 적절한 난이도의 플레이를 긍정적으로 평가했으며, 미니멀한 스토리는 아쉬운 점으로 언급함.",completed,94,505,1,0.52380955,gpt-5.4-mini,,True
38,29731142,558850,"Neat little boss fighting game. Quite short and easy, but worth it for the little amount of money. Would be cool if they used this as a demo for a bigger game.",True,recommended,"gameplay,value","difficulty_balance,content",True,,"보스전이 재미있다는 점은 gameplay의 긍정으로, 짧고 쉬우며 콘텐츠가 적다는 점은 content와 difficulty_balance의 부정으로 판단했고 가격 대비 만족도는 value의 긍정으로 판단함.",completed,32,159,1,0.50014704,gpt-5.4-mini,,True
39,203218672,2701410,"Great follow up to Gwen the Hen, while I think Gwen was more fun, this was a delightful follow up with a bit more to collect if that's more you.",True,recommended,"gameplay,content",gameplay,True,,"수집 요소가 더 많다고 한 점은 content의 긍정 평가로, 전작보다 덜 재미있다고 한 점은 gameplay의 부정 평가로 판단함.",completed,30,144,0,0.5,gpt-5.4-mini,,True
40,117845954,797880,I am convinced this is the best mission in the game. I can't stop laughing while I play it.,True,recommended,gameplay,,True,,가장 좋은 미션이라고 한 점과 플레이 중 계속 웃게 된다는 점을 gameplay의 긍정 평가로 판단함.,completed,19,91,0,0.47770703,gpt-5.4-mini,,True
41,197004603,3414910,just sell steam card and buy the game in discount dont regret,True,recommended,,,False,게임 평가가 아니라 스팀 카드와 할인 구매를 권하는 짧은 문장이라 토픽 분류가 어렵습니다.,게임 요소에 대한 직접 평가가 없어 유효한 리뷰로 보기 어려움.,completed,12,61,0,0.5,gpt-5.4-mini,,True
42,202668112,1602010,You'll prolly have to join a Discord or play with friends for consistent matches but it's a good game with the majority if not all of the cast being usable if not just actually good. Plus it's the 2.X version which wasn't originally released on consoles,True,recommended,gameplay,multiplayer,True,,"친구나 디스코드가 있어야 안정적인 매치를 할 수 있다는 점을 multiplayer의 부정으로, 대부분의 캐릭터가 쓸 만하고 좋다는 점을 gameplay의 긍정으로 판단함.",completed,46,253,0,0.5,gpt-5.4-mini,,True
43,38284967,346950,"Terrible, terrible game. It is horrendously imbalanced. Every random encounter is a life-or-death situation because all your characters are always very low on health. There's nowhere to heal and virtually no items to use to heal yourself with. I bought this game despite some of the bad reviews because it was only $0.80. Don't make the same mistake I did. Take that $0.80 and swallow it. You'll get a lot more enjoyment out of passing coins the following day than you will by playing this game.",False,not_recommended,,"difficulty_balance,content,value",True,,"0.80달러라는 저렴한 가격을 언급해 value의 긍정 평가가 있으나, 심각한 밸런스 문제와 치료 장소·치유 아이템 부족을 difficulty_balance와 content의 부정 평가로 판단함.",completed,86,495,2,0.51956552,gpt-5.4-mini,,True
44,29760317,417890,"Besides the fact of complete emptyness and just playing with bot it's really a great game if more people played it'll be better, way better",True,recommended,gameplay,multiplayer,True,,"봇과만 플레이해야 하는 점을 multiplayer의 부정으로, 전반적으로는 재미있다는 평을 gameplay의 긍정으로 판단함.",completed,25,139,0,0.5,gpt-5.4-mini,,True
45,160955004,2237700,"It's ... okay. I'm going to call it a very good start after a half an hour. It's a general manager simulator - you can't coach any games, I can't even tell if you can watch the games play out live. Everything you would want for a GM simulator is there. There's a distinct lack of polish at the moment, and not with the GUI - the GUI is fine, it's just difficult to tell what decisions you have to make when, such as when to cut your roster down to 53 players, or if your coaches did that for you, or how generating a game plan works when you don't have a lot of information to generate a game plan off of. I guess that's best left to your coaches for now. The good news is all the bones are there, so this has a chance to be one of the better American football sims out there if the developer keeps at it, but probably best bought on sale at the moment.",True,recommended,"content,ui_ux,updates_support","ui_ux,value",True,,"GM 시뮬레이터로서 필요한 요소가 갖춰졌다는 점은 content의 긍정, GUI는 괜찮지만 의사결정 시점과 정보 전달이 불명확하다는 점은 ui_ux의 부정으로 판단했으며, 세일 때 사라는 언급은 value, 개발자가 계속 다듬으면 좋아질 수 있다는 평가는 updates_support로 보았습니다.",completed,173,853,4,0.56521738,gpt-5.4-mini,,True
46,202652359,255070,"This game is definitely worth a playthrough! The art is handcrafted and BEAUTIFUL, and the localization allows the Chilean flavor of the game to come through in English without any awkwardness. The action is sharp and engaging. There's an option for two player co-op (and even couch co-op, which is sorely lacking these days!). The difficulty is real, but the combat and upgrade system does allow for building some seriously powerful combos. Especially if the game is on sale, pick it up!",True,recommended,"graphics,localization,gameplay,multiplayer,difficulty_balance,value",,True,,"수공예 느낌의 아름다운 아트는 graphics, 자연스러운 영어 현지화는 localization, 전투와 콤보는 gameplay, 2인 협동은 multiplayer, 진짜 난이도와 빌드 여지는 difficulty_balance, 할인 시 구매 추천은 value의 긍정 평가로 판단함.",completed,82,488,0,0.5,gpt-5.4-mini,,True
47,142835901,2444600,possibly the worst TD game ever made,False,not_recommended,,other,True,,게임을 전반적으로 최악이라고 평가하고 있으나 구체적인 요소 언급이 없어 other의 부정으로 판단함.,completed,7,36,0,0.5,gpt-5.4-mini,,True
48,29743333,314280,Developer: Fix your game! I couldn't even navigate in the menu because the amount of lag. The loading time was awful and the game froze just from me to trying to put the settings LOWER. How would you expect me to start the game and actually try to play this if the menu doesn't even work? Can't recommend this to anybody.,False,not_recommended,,"ui_ux,performance,bugs",True,,"메뉴 탐색 불가와 설정 변경이 안 되는 점은 ui_ux와 bugs로, 심한 지연과 긴 로딩은 performance의 부정 평가로 판단함.",completed,61,321,0,0.43413913,gpt-5.4-mini,,True
49,72512033,1029550,"I really enjoy the format of the game, the battles are like real life, not just everyone drifting around on a track trying to get points. After finishing my PC and moving to playing on it the game is next level too. The devs are really pushing some big things for the game and its players and myself and our team can't wait to see it finished!",True,recommended,"gameplay,updates_support",,True,,"전투 방식이 현실적이고 형식이 마음에 든다는 점은 gameplay의 긍정 평가로, 개발진이 큰 업데이트를 추진한다는 점은 updates_support의 긍정 평가로 판단함.",completed,67,343,0,0.5,gpt-5.4-mini,,True
50,200179571,3412380,"Glitchy af. Graphics in the recipe book don't load fully, and parts don't actually follow the recipe book (or are just broken).",False,not_recommended,,"bugs,graphics",True,,"레시피 북 그래픽이 끝까지 로드되지 않는 점은 graphics의 부정 평가로, 일부가 레시피북을 따르지 않거나 깨졌다는 점은 bugs의 부정 평가로 판단함.",completed,22,127,0,0.5,gpt-5.4-mini,,True
51,164028318,2195790,"I enjoyed the game for a bit, but there are numerous issues that made me stop playing: -Obvious bugs like menu items being incorrect or not working. Most of these are pre-existing bugs from many years ago that were ignored and never fixed. -Translation is actually worse than it used to be. Some item names actually don't make sense anymore. -Some alchemy recipes are listed incorrectly in-game (they take different materials than are listed in the in-game recipe). -Autobattle is too poorly implemented. -There are 2 audio sliders: BGM and VFX. Neither of these affect the voiceover volume which cannot be adjusted or silenced. -The original game came with a strategy guide which listed necessary information for playing the game (like stat requirements for classes.) There is no digital strategy guide, so if you want to play advanced classes you have to use google to look up the requirements. TLDR; Nothing was improved besides the graphics. All bugs and broken behaviors from the original are still there with no fixes.",False,not_recommended,graphics,"bugs,localization,gameplay,audio,ui_ux,updates_support",True,,"그래픽은 개선됐다고 긍정 평가했지만, 오랜 기간 방치된 버그와 고장난 기능, 악화된 번역, 부실한 자동전투, 음성 볼륨 조절 불가, 디지털 전략 가이드 부재, 패치 없이 문제를 방치한 점을 각각 해당 토픽의 부정으로 판단함.",completed,170,1024,27,0.71118873,gpt-5.4-mini,,True
52,202356865,2106840,solid horror VN with an excellent soundtrack,True,recommended,audio,,True,,excellent soundtrack를 audio의 긍정 평가로 판단함.,completed,7,44,0,0.5,gpt-5.4-mini,,True
53,45833995,569350,"So, You want to buy RoboCritters? -Do you have a local group of 8 friends? -Do you have up to 8 Controllers? -Do you like paying money for a game that has ""online,"" (but not really?) Then RoboCritters, Is the game for you! I purchased 2 copies of this game, and will be requesting a refund for both games. The ""online play,"" doesn't work. For those of you who argue, ""The online clearly says BETA."" That's true. Although i have the feeling the ""BETA"" tag is to save the devs any kind of scrutiny when their product doesn't work. Don't advertise your came can play online if it can't. Maybe if the devs actually make their game work ill buy it again. 0/10 - couldn't even mess around by myself locally. meaning i can't even judge the gameplay.",False,not_recommended,,"network_server,multiplayer",True,,"온라인 플레이가 작동하지 않는다고 해서 network_server와, 친구 8명·컨트롤러가 필요하다는 점을 multiplayer로, 개발자가 BETA를 내세워 문제를 방치한다는 불만을 updates_support로 판단함.",completed,138,742,4,0.54683399,gpt-5.4-mini,,True
54,105937637,1799020,Nice puzzle. Well polished and fun.,True,recommended,gameplay,,True,,퍼즐이 재미있고 잘 다듬어졌다고 평가해 gameplay의 긍정으로 판단함.,completed,6,35,0,0.5,gpt-5.4-mini,,True
55,92244946,703540,"0/10 I tried to use this to study for my algorithms final, was very disappointed when I walked out with a F, false advertising right here, where is O(n), O(logn), linear programming, proof by induction, and P = NP? Very bad study guide, would not recommend",False,not_recommended,,,False,,알고리즘 공부용으로 기대했으나 그런 학습 내용이 없어 실망했다는 전체 부정 평가를 other로 판단함.,completed,46,256,0,0.5,gpt-5.4-mini,,True
