recommendationid,appid,label,input_text,positive_topics,negative_topics,teacher_model
38050825,577359,recommended,"NOTE: I've not explored the entirety of the content offered by this DLC, this is more of a first impressions review... The loco is quite detailed, and once you get to know it; it becomes quite distinct from the others in the game. This DLC also has a shunting scenario included, which I loved and felt was missing whilst playing the base game. Worth $20? That's up to you, but you get several new freight cars as well as a detailed loco for the price of just one loco. I personally feel it was worth the price. I would recommend this DLC. (That 3,000 hp though)","[""content"", ""value""]",[],gemma3:27b
200147983,263820,recommended,Hella good game,"[""gameplay"", ""value""]",[],gemma3:27b
14062362,13000,recommended,"To me this game is more of a ""Mouse burn-in"" program. i often install and play it when ive gotten a new mouse or drawing tablet and wan't to get used to it asap. tough beyond that i hardly play. Its best to treat this game like a utility for mouse calibration, rather then a game to improve ""skills""","[""content""]","[""gameplay"", ""replayability""]",gemma3:27b
203255751,1250760,recommended,"One of the best visual novels I've played in a long time. The characters, story, art are all amazing! And its in cantonese, so its perfect for more exposure to a language im learning. The story and the characters are well developed and have great personalities, and i love the art style","[""story"", ""graphics"", ""content""]",[],gemma3:27b
201524061,332950,recommended,Well..I rage quitted multiple times but worth it,"[""gameplay"", ""replayability""]","[""difficulty_balance""]",gemma3:27b
163949611,2522550,recommended,pretty neat game overall. The full price is expensive for what it is but it's worth snatching it during a sale.,"[""gameplay""]","[""value""]",gemma3:27b
43322024,653728,recommended,It's decent if you buy it on sale imo. Looks nice and with a bit of editing you can get some neat stuff out of it.,"[""graphics"", ""value""]",[],gemma3:27b
144468484,2094600,recommended,"okay so i played 10 hours, and with that i think im one of the top players. even the game its early access should have more content, i looted everything twice at least, (chests contents re spawn) but wasn't able to craft/get a gun, but i have plenty of ammo, i explored the map but still didn't understand what im doing. Many in game items cant be used. The devs need to work, work a lot so dont give up guys!",[],"[""content"", ""bugs"", ""gameplay""]",gemma3:27b
197231166,2070190,recommended,Good jigsaw game. Can be completed in an hour.,"[""gameplay"", ""value""]","[""replayability""]",gemma3:27b
161124769,2593260,not_recommended,"if you suck so bad at the game that you can't save every 12 seconds or after every encounter and/or you simply cannot defeat a monster that is designed to be defeated by human hands, this is the DLC for you. if this DLC is for you, please re-consider your choice of pastime, idle games may be more your style.",[],"[""difficulty_balance""]",gemma3:27b
16546846,222900,recommended,"I love this game. Seems production has slowed and servers are a crawl now. Literally cannot play North American servers. You're forced to play on EU servers for players. Then if you like range like me, it sucks to deal with the lag associated from EU servers. Then if you do find a North American server going(will be 1 at the most at once going), if you miss rotation on it you will be waiting 12-20 minutes for that match to end, so you have a chance to join(keyword chance). Which sucks.... Besides that this game is very good, I love it. Just wish I could play on North American servers..... Maybe advertise the game better....","[""gameplay"", ""content""]","[""network_server"", ""performance"", ""monetization""]",gemma3:27b
115431079,1874870,recommended,Love it already,[],[],gemma3:27b
159484215,370402,not_recommended,You have to start over because an overpriced skin is not worth it.,[],"[""monetization""]",gemma3:27b
174548127,222627,recommended,"The Amtrak GE Genesis P42DC is certainly a must have for any Amtrak fan and any GE Genesis fan. I certainly had a great time driving it. However, the coaches have a lot of friction causing the loco to be unable to exceed 90mph and unable to reach 110mph on a heavy train and slow down too quickly, even on a normal downhill gradient. The throttle does 10 notches instead of the standard 8 notches which is completely unprototypical. So with that said, I am going to have to take 2 mark off for that. Other than that, I would still recommend this fast, powerful, fuel efficient Amtrak loco. A solid 8/10 from myself.","[""gameplay"", ""value""]","[""performance"", ""controls""]",gemma3:27b
149855730,2375912,not_recommended,"The work of a skilled modeller ruined. This loco has so many bugs, here's a few: - almost no sounds (doors, switches) - script is bugged. Set PZB mode to ""M"" go into LZB, on LZB end you're in ""U"". - Headlights can't be selectively turned off, there's only options for front/back signals, but you can't turn them off once active - There's been a sound update, but it's widely considered as completely off. - too high driver's view (I've addressed that in my CabCam mod on trainsimcommunitydotcom) - wrong headlight set up, top signal is off when selecting Signal not headlights If I were the modeller (the model looks good) I'd leave that developer (Skyhook) which sabotaged my work. Only recommended for having an AI layer.","[""content""]","[""audio"", ""bugs"", ""graphics"", ""ui_ux""]",gemma3:27b
203008390,1046030,recommended,good,[],[],gemma3:27b
201487988,2630,recommended,"This is by far my personal favorite Call of Duty! This was one of the first shooters I played when I was a little kid, I enjoyed this game throughout my entire life and I still do! I honestly love the soviet campaign, it is by far the best! Simple, describes the eastern front at its best and it brings back so many memories! The other campaigns are also amazing, I also check on the british campaign too, since there are unique moments and mechanics as well, like the tank campaign, the AA flak or the artillery missions. You can also add some mods to play custom campaigns like some german missions that are also a different experience and worth the try! A shame most COD games are always at full price in all these years and they should at least reduce the cost on the old ones, but if you wait for a sale, you can get this diamond! I highly recommend!","[""content"", ""story"", ""replayability""]","[""monetization""]",gemma3:27b
202638574,3451600,recommended,"A rich sci-fi story set in a dystopian world, with political insight, and a wonderful soundtrack!","[""story"", ""audio""]",[],gemma3:27b
156436267,2732510,recommended,This game was for me to play with my elderly mother. But she said that I shouldn't be playing these games in my mid 40's.,[],[],gemma3:27b
78203797,843640,recommended,WEscaped :D,[],[],gemma3:27b
25851986,447930,recommended,how do i change controls,[],"[""controls""]",gemma3:27b
39302944,675890,recommended,"me love dis game, iz my first visual novel anime thing, me very much enjoy it, keep up good work dev and team, iz very unique to me, me hope dis thing finds it helpful, me would like 2 but me doesnt know, thankys rhino peoples for making dis game ;3","[""content"", ""story""]",[],gemma3:27b
169197514,1059710,recommended,I totally enjoy this game,"[""gameplay"", ""content""]",[],gemma3:27b
87493063,1419130,recommended,The game is very fun to play with friends on a big screen. Airstrife: Assault of the Aviators = The purpose of the game is to use different planes with which you can upgrade the parts on the plane.,"[""gameplay"", ""multiplayer""]",[],gemma3:27b
80431438,1029760,recommended,its soo funnny game. Hahahaaaa,"[""gameplay"", ""content""]",[],gemma3:27b
201698372,760350,not_recommended,what is up with the girls dude?? feels like candy crush for that kind of uncle,[],"[""content""]",gemma3:27b
203470721,2518630,recommended,"Very fun strategy game, you definitely feel like the raid Boss!!","[""gameplay"", ""content""]",[],gemma3:27b
115735743,1982180,not_recommended,"The aesthetic is good. The sound design is mediocre. The trading MIGHT be fun but the travelling, the thing the game is mostly about, is really bad. There are invisible walls and no way to get to the other islands. I made it to a respawn island but that's it. There is no dialogue, one mission, and nothing. Definitely not worth your time. [URL]","[""graphics""]","[""content"", ""gameplay"", ""bugs"", ""value""]",gemma3:27b
30214444,529670,recommended,"The first ""horror"" experience I tried on my Vive. From the moment I started in the room where you choose your locomotion mechanic, I was hooked. I've played it a number of times since, and thoroughly enjoyed the feeling of the hairs on my neck as it unfolds. I'm running it on a G1-1070 and it looks sweet, although the black elements could do with a little work as the HMD has a strange grey output in full black which feels like diving through barely visible soup The only negative is the full locomotion option - it took me time to work out how to avoid simulator sickness, making sure to face forward whenever moving, and also rocking my head slightly from side to side to trick my vestibular system into thinking I am walking - its crude but works, and helped me enjoy this game (and other games with full locom) without suffering any nausea effects. This is a very effective piece of work, and the complimentary demo shows great potential for the full experience.","[""gameplay"", ""graphics"", ""story""]","[""controls"", ""performance""]",gemma3:27b
32865723,613130,recommended,Two thumbs up! Great arcade style game in the Space Invaders - Galaga vein.,"[""gameplay"", ""value""]",[],gemma3:27b
